year,class,rank,bib,team,time,time_seconds,source_url
2025,bedrift og mosjonslag mix flest menn,1113,11261,Legeforeningen 1 (Den norske legeforening),1:19:36,4776.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1114,7293,Business Banking (Nordea),1:19:36,4776.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1115,8281,Ælgrim Running Club 1,1:19:36,4776.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1116,7296,Statkraft SAP (Statkraft),1:19:36,4776.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1117,5744,KIWI 14 (NORGESGRUPPEN ASA),1:19:36,4776.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1118,11097,Team Rebel (Rebel),1:19:37,4777.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1119,7715,Strim (RiksTV),1:19:37,4777.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1120,6855,RunINT (Politi),1:19:37,4777.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1121,6853,Bane NOR – Signal 2 (Bane NOR),1:19:37,4777.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1122,9238,Iver (Iver Norge AS),1:19:38,4778.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1123,7269,OPAS (OBOS Prosjekt AS),1:19:38,4778.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1124,9697,Ocean Supreme (Ocean Supreme AS),1:19:39,4779.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1125,11424,NHO Geneo,1:19:40,4780.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1126,7627,Brødrene Dahl IL Bryn (Brødrene Dahl AS),1:19:40,4780.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1127,11861,Plyo/Coera (Plyo AS),1:19:40,4780.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1128,11002,Netcompany 2 (Netcompany),1:19:41,4781.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1129,7451,Monte Rosa Capital,1:19:41,4781.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1130,9274,Capgemini 2 (Capgemini),1:19:41,4781.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1131,8628,Toyota Oslo – Team Supra (Toyota Oslo),1:19:42,4782.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1132,7718,Oslo-filharmonien,1:19:43,4783.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1133,11110,24SevenOffice 2 (24SevenOffice),1:19:44,4784.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1134,11407,Class Development 2 (DNV),1:19:44,4784.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1135,9652,FBUT x OFOT Elite (Forebyggende barne- og ungdomsteam),1:19:45,4785.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1136,9285,Inpex Idemitsu Norge (Inpex Idemitsu),1:19:45,4785.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1137,6869,Bouvet 2 Ringpingvin (Bouvet),1:19:46,4786.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1138,11856,FCP (Tietoevry),1:19:46,4786.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1139,11108,Bisvermen (Bien Sparebank),1:19:46,4786.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1140,6613,Parat Halvorsen (Parat Halvorsen A/S),1:19:46,4786.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1141,7671,Knowit Experience Oslo 2 (Knowit Experience Oslo),1:19:46,4786.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
